index,class_key,display_name
0,Apple___Apple_scab,Apple - Apple scab
1,Apple___Black_rot,Apple - Black rot
2,Apple___Cedar_apple_rust,Apple - Cedar apple rust
3,Apple___healthy,Apple - healthy
4,Blueberry___healthy,Blueberry - healthy
5,Cherry_(including_sour)___Powdery_mildew,Cherry (including sour) - Powdery mildew
6,Cherry_(including_sour)___healthy,Cherry (including sour) - healthy
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize) - Cercospora leaf spot Gray leaf spot
8,Corn_(maize)___Common_rust_,Corn (maize) - Common rust
9,Corn_(maize)___Northern_Leaf_Blight,Corn (maize) - Northern Leaf Blight
10,Corn_(maize)___healthy,Corn (maize) - healthy
11,Grape___Black_rot,Grape - Black rot
12,Grape___Esca_(Black_Measles),Grape - Esca (Black Measles)
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape - Leaf blight (Isariopsis Leaf Spot)
14,Grape___healthy,Grape - healthy
15,Orange___Haunglongbing_(Citrus_greening),Orange - Haunglongbing (Citrus greening)
16,Peach___Bacterial_spot,Peach - Bacterial spot
17,Peach___healthy,Peach - healthy
18,Pepper,_bell___Bacterial_spot,Pepper, bell - Bacterial spot
19,Pepper,_bell___healthy,Pepper, bell - healthy
20,Potato___Early_blight,Potato - Early blight
21,Potato___Late_blight,Potato - Late blight
22,Potato___healthy,Potato - healthy
23,Raspberry___healthy,Raspberry - healthy
24,Soybean___healthy,Soybean - healthy
25,Squash___Powdery_mildew,Squash - Powdery mildew
26,Strawberry___Leaf_scorch,Strawberry - Leaf scorch
27,Strawberry___healthy,Strawberry - healthy
28,Tomato___Bacterial_spot,Tomato - Bacterial spot
29,Tomato___Early_blight,Tomato - Early blight
30,Tomato___Late_blight,Tomato - Late blight
31,Tomato___Leaf_Mold,Tomato - Leaf Mold
32,Tomato___Septoria_leaf_spot,Tomato - Septoria leaf spot
33,Tomato___Spider_mites Two-spotted_spider_mite,Tomato - Spider mites Two-spotted spider mite
34,Tomato___Target_Spot,Tomato - Target Spot
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato - Tomato Yellow Leaf Curl Virus
36,Tomato___Tomato_mosaic_virus,Tomato - Tomato mosaic virus
37,Tomato___healthy,Tomato - healthy
